MeanTemp,Description,Incidents,Level
66,AGG. ASSAULT,14.33333333,High
66,AAUTO THEFT,10.80952381,High
66,BURGLARY,19.14285714,High
66,COMMON ASSAULT,21.0952381,High
66,LARCENY,25.85714286,High
66,LARCENY FROM AUTO,15.19047619,High
66,ROBBERY - STREET,9.714285714,High
67,AGG. ASSAULT,15.1,High
67,AAUTO THEFT,11.06666667,High
67,BURGLARY,18.56666667,High
67,COMMON ASSAULT,23.5,High
67,LARCENY,27.8,High
67,LARCENY FROM AUTO,16.33333333,High
67,ROBBERY - STREET,11.03333333,High
68,AGG. ASSAULT,15.25,High
68,AAUTO THEFT,11.29166667,High
68,BURGLARY,19.66666667,High
68,COMMON ASSAULT,20.25,High
68,LARCENY,31.54166667,High
68,LARCENY FROM AUTO,17.45833333,High
68,ROBBERY - STREET,9.125,High
69,AGG. ASSAULT,14.21212121,High
69,AAUTO THEFT,11.57575758,High
69,BURGLARY,19.09090909,High
69,COMMON ASSAULT,21.66666667,High
69,LARCENY,28.45454545,High
69,LARCENY FROM AUTO,17.87878788,High
69,ROBBERY - STREET,9.636363636,High
70,AGG. ASSAULT,16.04347826,High
70,AAUTO THEFT,12.08695652,High
70,BURGLARY,20.43478261,High
70,COMMON ASSAULT,22.52173913,High
70,LARCENY,28.43478261,High
70,LARCENY FROM AUTO,19.86956522,High
70,ROBBERY - STREET,9.739130435,High
71,AGG. ASSAULT,16.22222222,High
71,AAUTO THEFT,10.37777778,High
71,BURGLARY,18.11111111,High
71,COMMON ASSAULT,22.24444444,High
71,LARCENY,29.88888889,High
71,LARCENY FROM AUTO,17.84444444,High
71,ROBBERY - STREET,9.377777778,High
72,AGG. ASSAULT,16.51020408,High
72,AAUTO THEFT,11.42857143,High
72,BURGLARY,20.44897959,High
72,COMMON ASSAULT,22.3877551,High
72,LARCENY,29.7755102,High
72,LARCENY FROM AUTO,17.79591837,High
72,ROBBERY - STREET,10.32653061,High
73,AGG. ASSAULT,16.25581395,High
73,AAUTO THEFT,11.62790698,High
73,BURGLARY,19.41860465,High
73,COMMON ASSAULT,22.76744186,High
73,LARCENY,30.09302326,High
73,LARCENY FROM AUTO,17.39534884,High
73,ROBBERY - STREET,8.906976744,High
74,AGG. ASSAULT,15.875,High
74,AAUTO THEFT,11.82142857,High
74,BURGLARY,19.60714286,High
74,COMMON ASSAULT,22.5,High
74,LARCENY,29.28571429,High
74,LARCENY FROM AUTO,19.66071429,High
74,ROBBERY - STREET,9.642857143,High
75,AGG. ASSAULT,16.35555556,High
75,AAUTO THEFT,10.48888889,High
75,BURGLARY,21.93333333,High
75,COMMON ASSAULT,20.64444444,High
75,LARCENY,31.24444444,High
75,LARCENY FROM AUTO,18.62222222,High
75,ROBBERY - STREET,11.33333333,High
76,AGG. ASSAULT,15.58333333,High
76,AAUTO THEFT,10.83333333,High
76,BURGLARY,18.7,High
76,COMMON ASSAULT,21.6,High
76,LARCENY,30.25,High
76,LARCENY FROM AUTO,17.1,High
76,ROBBERY - STREET,10.4,High
77,AGG. ASSAULT,16.74418605,High
77,AAUTO THEFT,12.58139535,High
77,BURGLARY,19,High
77,COMMON ASSAULT,20.23255814,High
77,LARCENY,28.90697674,High
77,LARCENY FROM AUTO,18.39534884,High
77,ROBBERY - STREET,9.976744186,High
78,AGG. ASSAULT,15.82222222,High
78,AAUTO THEFT,12.55555556,High
78,BURGLARY,18.06666667,High
78,COMMON ASSAULT,23.2,High
78,LARCENY,29.75555556,High
78,LARCENY FROM AUTO,19.31111111,High
78,ROBBERY - STREET,10.4,High
79,AGG. ASSAULT,16.48780488,High
79,AAUTO THEFT,12.24390244,High
79,BURGLARY,18.26829268,High
79,COMMON ASSAULT,19.46341463,High
79,LARCENY,31.12195122,High
79,LARCENY FROM AUTO,16.46341463,High
79,ROBBERY - STREET,10.46341463,High
80,AGG. ASSAULT,14.64705882,High
80,AAUTO THEFT,11.98039216,High
80,BURGLARY,18.74509804,High
80,COMMON ASSAULT,20.92156863,High
80,LARCENY,29.07843137,High
80,LARCENY FROM AUTO,16.78431373,High
80,ROBBERY - STREET,8.882352941,High
81,AGG. ASSAULT,17.51851852,High
81,AAUTO THEFT,13.48148148,High
81,BURGLARY,17.59259259,High
81,COMMON ASSAULT,22.40740741,High
81,LARCENY,28.74074074,High
81,LARCENY FROM AUTO,17.81481481,High
81,ROBBERY - STREET,10.62962963,High
82,AGG. ASSAULT,15.7,High
82,AAUTO THEFT,10.3,High
82,BURGLARY,17.15,High
82,COMMON ASSAULT,21.05,High
82,LARCENY,30.15,High
82,LARCENY FROM AUTO,14.75,High
82,ROBBERY - STREET,9.9,High
83,AGG. ASSAULT,14.30769231,High
83,AAUTO THEFT,11.03846154,High
83,BURGLARY,18.57692308,High
83,COMMON ASSAULT,22.15384615,High
83,LARCENY,29.88461538,High
83,LARCENY FROM AUTO,16.73076923,High
83,ROBBERY - STREET,9.307692308,High
84,AGG. ASSAULT,15.38461538,High
84,AAUTO THEFT,14.38461538,High
84,BURGLARY,14.84615385,High
84,COMMON ASSAULT,20.92307692,High
84,LARCENY,28.69230769,High
84,LARCENY FROM AUTO,17.61538462,High
84,ROBBERY - STREET,10.46153846,High
85,AGG. ASSAULT,14,High
85,AAUTO THEFT,11.57142857,High
85,BURGLARY,18.28571429,High
85,COMMON ASSAULT,20,High
85,LARCENY,32.57142857,High
85,LARCENY FROM AUTO,17.28571429,High
85,ROBBERY - STREET,6.571428571,High
86,AGG. ASSAULT,15.75,High
86,AAUTO THEFT,10.75,High
86,BURGLARY,20.25,High
86,COMMON ASSAULT,22.625,High
86,LARCENY,32.25,High
86,LARCENY FROM AUTO,16.875,High
86,ROBBERY - STREET,12.25,High
87,AGG. ASSAULT,13.33333333,High
